day,campaign,channel,partner,ad,impr,clicks,spend,engagement,sales,revenue
2024-01-01,New Year Push,Video,Connected TV,Countdown Offer,56691,412,988.83,14084,6,571.34
2024-01-01,New Year Push,Video,Connected TV,Resolution Ready,49031,452,877.54,14761,7,617.74
2024-01-01,Brand Awareness,SEM,Google,Hero Brand,2109,40913,942.3,595,158,16777.61
2024-01-01,Brand Awareness,Paid Search,Google,Our Story,36409,1502,793.07,340,86,11625.47
2024-01-01,brand awareness,Paid Search,GOOGLE,Why Choose Us,1748,34476,755.06,397,138,18704.24
2024-01-01,Brand Awareness,Paid Search,Bing,Hero Brand,518,10442,221.79,112,41,4952.92
2024-01-01,Branding,PaidSearch,Bing,Our Story,10409,521,218.86,130,32,4175.56
2024-01-01,Brand Awareness,Paid Search,Bing,Why Choose Us,9457,507,199.32,95,33,4098.68
2024-01-01,brand_awareness,Paid Social,Facebook,Hero Brand,44023,683,457.41,1460,18,1528.8600007413029
2024-01-01,Brand Awareness,Paid Social,Facebook,Our Story,854,46099,462.04,2132,18,1571.73
2024-01-01,Brand Awareness,paid_social,Facebook,Why Choose Us,44062,763,448.19,1506,17,1499.33
01.01.2024,Brand Awareness,Paid Social,Instagram,Hero Brand,29004,514,304.5,1375,9.0,674.49
2024-01-01,brand awareness,Social Ads,Insta,Our Story,30498,634,316.6,1378,15,1103.71
2024-01-01,Brand Awareness,PaidSocial,Instagram,Why Choose Us,34908,674,352.98,1649,19,1327.96
2024-01-01,Brand Awareness,paid_social,TikTok,Hero Brand,334,20024,203.51,927,6,435.24007730151857
2024-01-01,brand awareness,Social,TIKTOK,Our Story,16853,309,164.69000869429226,673,9,672.38
01-01-2024,brand awareness,Paid Social,TikTok,Why Choose Us,19208,316,191.86000502211206,877,9,647.73
2024-01-01,Brand Awareness,display ads,GDN,Hero Brand,124400,571,472.9,706,7,468.0100782597999
2024-01-01,Brand Awareness,Display,Google Display Network,Our Story,134062,682,532.37,505,6,481.65
2024-01-01,Brand Awareness,Display,Google Display Network,Why Choose Us,139010,706,574.64,723,6,383.72
2024-01-01,brand_awareness,Display,Trade Desk,Hero Brand,74096,423,305.1600086761286,437,6,394.43
2024-01-01,brand_awareness,Display,the_trade_desk,Our Story,312,73001,300.18,435,3,223.82
2024-01-01,Branding,Display,The Trade Desk,Why Choose Us,411,71230,295.31,440,5,401.19
2024-01-01,Brand Awareness,Email,MAILCHIMP,Hero Brand,15769,3593,23.26,1571,178.0,18954.34
2024-01-01,Brand Awareness,Email,Mailchimp,Our Story,19126,3679,29.51000048863844,1261,189,20095.89
2024-01-01,Brand Awareness,Email,Mailchimp,Why Choose Us,16613,3886,24.82,1229,192,16925.71
2024-01-01,brand awareness,Email,Klaviyo,Hero Brand,2409,12898,19.01,1250,129,11563.41
2024-01-01,Brand Awareness,Email Marketing,Klaviyo,Our Story,3047,15057,23.67,1257,161,13672.42
2024-01-01,Brand Awareness,Email,Klaviyo,Why Choose Us,16207,3009,25.43,1173,96,9035.08
2024-01-01,Branding,Video,YouTube,Hero Brand,102188,762,1858.9200077128864,26206,11,1147.78
2024-01-01,Brand Awareness,Video,YouTube,Our Story,91172,784,1559.32,28195,12,1304.57
2024-01-01,Brand Awareness,video,YT,Why Choose Us,102500,870,1819.950004489926,20517,15,1452.06
2024-01-01,Brand Awareness,vid,Connected TV,Hero Brand,49833,448,916.71,11438,6.0,595.18
2024-01-01,Brand Awareness,Video,Connected TV,Our Story,50941,377,882.7600201849057,12473,7,751.98
2024-01-01,Brand Awareness,Video,Connected TV,Why Choose Us,57206,476,1009.21,14937,5,477.4
2024-01-02,New Year Push,SEM,Google,Fresh Start,1703,35990,804.03,424,101,10894.37
2024-01-02,New Year Push,paid search,GOOGLE,Countdown Offer,36370,1914,823.83,364,89.0,10550.68
2024-01-02,New Year Push,Paid Search,Google Ads,Resolution Ready,37774,1634,857.4900055942461,510,111,12016.0
2024-01-02,New Year Push,Paid Search,BING,Fresh Start,9579,365,205.36,113,27,2777.71
2024-01-02,New Year Push,SEM,Bing,Countdown Offer,10112,486,215.67,133,30.0,3268.11
2024-01-02,New Year Push,Paid Search,Bing,Resolution Ready,10711,405,241.56,145,19,2191.65
01/02/2024,New Year Push,Paid Social,Facebook,Fresh Start,43438,910,435.16,1279,20,1811.38
2024-01-02,New Year Push,Paid Social,Facebook,Countdown Offer,46609,929,473.90000522602514,2203,25,2326.77
2024-01-02,New Year Push,Paid Social,FACEBOOK,Resolution Ready,51526,965,526.56,1962,30,2495.3300089709924
2024-01-02,NY Push,paid social,IG,Fresh Start,35469,694,353.79,1185,15.0,1280.8
2024-01-02,New Year Push,Paid Social,Instagram,Countdown Offer,34448,624,348.85,1161,12.0,920.75
2024-01-02,New Year Push,Paid Social,INSTAGRAM,Resolution Ready,30608,515,307.31,952,11,954.48
2024-01-02,New Year Push,PaidSocial,TikTok,Fresh Start,19568,296,193.87004966117837,759,7,523.52
2024-01-02,new_year_push,Paid Social,TT,Countdown Offer,18287,377,184.41,762,11.0,973.87
2024-01-02,New Year Push,Paid Social,TikTok,Resolution Ready,18109,267,178.41,775,8,745.24
2024-01-02,New Year Push,Display,google_display_network,Fresh Start,124502,677,500.31,654,6,395.64
2024-01-02,New Year Push,Display,Google Display Network,Countdown Offer,519,125015,491.87,681,5,323.82
2024-01-02,New Year,Banner,google_display_network,Resolution Ready,125976,545,510.06,480,6,440.35
2024-01-02,New Year Push,Display,The Trade Desk,Fresh Start,68988,362,265.9,338,3,208.17000069782944
01.02.2024,New Year Push,Display,The Trade Desk,Countdown Offer,72435,339,297.31,340,4,316.68
2024-01-02,NewYearPush,Display,The Trade Desk,Resolution Ready,73193,310,278.70008654221203,373,4,275.04
2024-01-02,New Year,Email,Mailchimp,Fresh Start,18476,4272,28.13,1707,227,19826.54
2024-01-02,NewYearPush,Email,Mailchimp,Countdown Offer,15781,2899,22.79,1403,126,11072.55
2024-01-02,New Year Push,Email,mail chimp,Resolution Ready,18687,4301,27.1,1614,207,17574.0
2024-01-02,New Year Push,Email,Klaviyo,Fresh Start,15709,3850,22.64,982,143,14458.39
2024-01-02,New Year Push,Email,Klayvio,Countdown Offer,16195,3274,24.81,1046,153,15248.68
2024-01-02,New Year Push,EMAIL,Klaviyo,Resolution Ready,13197,3043,20.49,1136,98,10773.60000893959
2024-01-02,NY Push,Video,YouTube,Fresh Start,103646,783,1852.27,24719,12,1165.7
2024-01-02,New Year Push,video,YOUTUBE,Countdown Offer,105205,939,1818.99,33008,16,1792.94
2024-01-02,New Year Push,Video,YT,Resolution Ready,101891,796,1876.92,32029,10,1114.31
2024-01-02,New Year Push,Video,CTV,Fresh Start,52743,419,943.26,15003,5,563.81
2024-01-02,New Year Push,Video,Connected TV,Countdown Offer,384,56412,1054.17,12542,6,632.26
2024-01-02,New Year Push,Video,Connected TV,Resolution Ready,50746,337,945.49,10881,4.0,444.45
2024-01-02,Brand Awareness,Paid Search,Google Ads,Hero Brand,35203,1841,790.05,375,80,10708.91
2024-01-02,Brand Awareness,paid_search,Google,Our Story,1636,32965,724.4,446,113.0,13917.64
2024-01-02,Brand Awareness,Paid Search,Google Ads,Why Choose Us,36525,1857,770.85,377,128,14225.88
02-01-2024,Brand Awareness,Paid Search,Bing,Hero Brand,479,10526,232.29,121,34,3808.34
2024-01-02,BrandAwareness,Paid Search,Bing,Our Story,10827,456,232.27,105,23,2404.24
2024-01-02,BrandAwareness,Paid Search,Bing,Why Choose Us,524,10413,221.87,107,32,4030.41
2024-01-02,Brand Awareness,paid social,Facebook,Hero Brand,52489,953,513.5,1596,20,1505.92
2024-01-02,Brand Awareness,Paid Social,Facebook,Our Story,43478,645,436.26,1465,21,1749.57
2024-01-02,Brand Awareness,Social Ads,Facebook,Why Choose Us,768,49333,511.51,1866,24,2011.73
2024-01-02,brand awareness,Social,Instagram,Hero Brand,32144,566,311.29,947,18.0,1466.14
2024-01-02,brand awareness,Paid Social,Instagram,Our Story,34886,605,334.0,1411,11.0,807.07
2024-01-02,Brand Awareness,Paid Social,IG,Why Choose Us,32870,549,344.94,1010,16,1353.85
2024-01-02,Brand Awareness,Paid Social,Tik Tok,Hero Brand,19945,323,199.9,739,8,726.88
2024-01-02,Brand Awareness,Paid Social,TikTok,Our Story,20837,348,210.89,835,10,930.11
2024-01-02,Brand Awareness,Paid Social,TikTok,Why Choose Us,279,17336,176.14,545,5,357.73
2024-01-02,Brand Awareness,DISPLAY,Google Display Network,Hero Brand,111815,549,451.46,500,5,382.35
2024-01-02,Brand Awareness,Display,Google Display Network,Our Story,133156,654,542.6,806,9,672.31
2024-01-02,Branding,display ads,Google Display Network,Why Choose Us,762,131882,523.58,674,9,727.4
2024-01-02,Brand Awareness,Display,The Trade Desk,Hero Brand,83921,354,324.47,379,4,293.98
2024-01-02,brand_awareness,Display,The Trade Desk,Our Story,319,73872,301.06000342991024,406,4,288.04
2024-01-02,Brand Awareness,DISPLAY,The Trade Desk,Why Choose Us,77704,329,296.5100006659781,375,3.0,199.82
2024-01-02,Brand Awareness,Email,Mailchimp,Hero Brand,16084,3939,24.94008141412458,1368,210,23181.41
2024-01-02,brand_awareness,Email,mailchimp,Our Story,18571,3576,26.58,1717,147.0,14753.43
2024-01-02,BrandAwareness,Email,Mailchimp,Why Choose Us,3646,19614,29.67,1716,152,12802.62
2024-01-02,Brand Awareness,Email,klaviyo,Hero Brand,14058,2775,21.45,1358,104,10564.09
2024-01-02,brand_awareness,Email,Klaviyo,Our Story,13849,3374,21.42,1164,137,12420.16
2024-01-02,brand awareness,Email,Klaviyo,Why Choose Us,13972,3430,20.76,1154,186,18700.56
2024-01-02,BrandAwareness,Video,youtube,Hero Brand,98054,759,1709.83,23275,14,1481.73
2024-01-02,Brand Awareness,Video,YouTube,Our Story,736,103118,1865.26,31917,11,1188.73
2024-01-02,brand_awareness,Video,YouTube,Why Choose Us,88243,826,1605.67,19568,10,1035.56
01/02/2024,brand_awareness,Video,ctv,Hero Brand,52919,361,999.4300843159068,16280,5,451.47
2024-01-02,Brand Awareness,Video,CTV,Our Story,451,56430,1037.7400709414912,14453,6,673.46
01.02.2024,Brand Awareness,Video,Connected TV,Why Choose Us,58288,423,1054.56,13998,8,818.02
03-01-2024,New Year Push,Paid Search,Google,Fresh Start,2081,40016,860.6500263994749,549,122,16271.43
2024-01-03,New Year Push,Search,Google,Countdown Offer,36745,1885,790.83,396,122,16550.66
2024-01-03,New Year Push,paid search,Google,Resolution Ready,36585,1470,807.98,405,93,11116.98
2024-01-03,New Year Push,Paid Search,bing,Fresh Start,440,10233,218.12,134,28.0,3039.91
2024-01-03,New Year Push,Paid Search,Bing,Countdown Offer,423,11028,248.55,145,31,3532.98
2024-01-03,New Year Push,Paid Search,Bing,Resolution Ready,551,10751,247.89,128,24,2833.95
2024-01-03,New Year Push,Paid Social,FACEBOOK,Fresh Start,48214,983,500.18,1777,25,2023.51
2024-01-03,New Year Push,PaidSocial,Facebook,Countdown Offer,49712,865,504.81,1562,22,2057.93
2024-01-03,New Year Push,paid social,Facebook,Resolution Ready,45364,873,460.44,2027,27,2452.68
2024-01-03,NY Push,Paid Social,Instagram,Fresh Start,31510,529,321.99,1352,16,1129.33
2024-01-03,New Year Push,Paid Social,Instagram,Countdown Offer,29084,548,303.08,1380,16,1286.01
2024-01-03,New Year Push,Paid Social,Instagram,Resolution Ready,29318,553,304.1,1082,16,1470.79
2024-01-03,New Year Push,paid_social,TIKTOK,Fresh Start,16645,331,163.01,592,6,496.6
2024-01-03,New Year Push,PaidSocial,TikTok,Countdown Offer,18976,377,183.5000065475148,569,11,934.39
2024-01-03,New Year Push,Paid Social,TikTok,Resolution Ready,362,17518,168.93,652,8,607.85
2024-01-03,New Year Push,display ads,Google Display Network,Fresh Start,112236,622,466.96,611,5,353.71
2024-01-03,New Year Push,Display,Google Display Network,Countdown Offer,631,122500,496.81,589,6,476.75
2024-01-03,New Year Push,Display,Google Display Network,Resolution Ready,118032,565,471.34,512,7,515.31
2024-01-03,NewYearPush,Display,Trade Desk,Fresh Start,87190,403,365.43,470,4,293.7
2024-01-03,New Year Push,Display,The Trade Desk,Countdown Offer,81447,443,311.1,428,5,403.65
2024-01-03,New Year,Display,The Trade Desk,Resolution Ready,73970,409,299.05,342,5,373.06
2024-01-03,New Year Push,Email,Mailchimp,Fresh Start,4223,18630,28.39,1786,191,20555.04
2024-01-03,New Year Push,Email,Mailchimp,Countdown Offer,18495,3616,27.58,1576,173,14565.88
2024-01-03,New Year Push,Email Marketing,Mailchimp,Resolution Ready,16989,3885,24.660061103718775,1136,167,18299.68
2024-01-03,New Year Push,Email,Klaviyo,Fresh Start,14727,3553,22.82,1060,178,16994.94
2024-01-03,New Year Push,email,Klaviyo,Countdown Offer,15694,3588,23.16,1039,192,16445.53
2024-01-03,New Year Push,E-Mail,Klayvio,Resolution Ready,16256,3856,24.930082464475824,1652,207,21687.83
2024-01-03,New Year Push,video,youtube,Fresh Start,94117,831,1611.76,24438,12,1287.46
2024-01-03,New Year Push,Video,Youtube,Countdown Offer,101272,834,1881.67,31509,10,938.55
2024-01-03,New Year Push,Video,YouTube,Resolution Ready,86164,784,1560.48,26533,10,886.34
2024-01-03,New Year Push,Video,Connected TV,Fresh Start,56435,518,995.74,13731,6,693.93
2024-01-03,New Year Push,vid,ctv,Countdown Offer,49906,398,862.12,15190,4,402.3300047436832
01.03.2024,New Year Push,Video,Connected TV,Resolution Ready,54508,474,1024.9000388300185,13337,8.0,731.43
2024-01-03,Brand Awareness,Paid Search,Google,Hero Brand,35927,1414,789.55,411,111.0,11261.86
2024-01-03,Brand Awareness,Paid Search,Google,Our Story,35537,1601,817.04,502,75,9342.98
2024-01-03,Brand Awareness,Paid Search,Google,Why Choose Us,37068,1998,803.97,422,100,10462.45
2024-01-03,Brand Awareness,Paid Search,Bing,Hero Brand,11208,507,250.59,144,33,3334.85
2024-01-03,brand awareness,Paid Search,Bing,Our Story,11056,461,234.13,136,21.0,2675.120001868004
2024-01-03,Brand Awareness,Paid Search,Bing Ads,Why Choose Us,9617,397,219.4,105,19,2511.4
2024-01-03,Brand Awareness,Paid Social,Facebook,Hero Brand,41561,844,400.84000079536463,1287,18,1331.87
2024-01-03,Brand Awareness,Paid Social,FACEBOOK,Our Story,731,49017,466.39,2132,16,1242.64
2024-01-03,brand_awareness,Paid Social,Facebook,Why Choose Us,43503,656,445.55,1674,19,1546.9
2024-01-03,Brand Awareness,Social Ads,Instagram,Hero Brand,34610,625,332.57,1317,20,1415.34
2024-01-03,Brand Awareness,Paid Social,Instagram,Our Story,706,34650,347.24,1289,23,1637.5200197336685
2024-01-03,Brand Awareness,paid_social,Instagram,Why Choose Us,32281,560,328.82,1220,18,1287.14
2024-01-03,Brand Awareness,Paid Social,tiktok,Hero Brand,16801,314,160.71,566,8,665.52
2024-01-03,Brand Awareness,paid_social,tiktok,Our Story,17896,379,179.51,664,10,721.4
2024-01-03,Brand Awareness,Paid Social,TikTok,Why Choose Us,19585,397,198.81,844,11,824.89
2024-01-03,Brand Awareness,Display,google display,Hero Brand,567,125736,494.84,614,6,379.52
2024-01-03,Branding,Display,Google Display Network,Our Story,124979,662,493.63,516,9.0,563.85
2024-01-03,Brand Awareness,Display,Google Display Network,Why Choose Us,137345,586,527.22,768,8,585.74
2024-01-03,Brand Awareness,Display,The Trade Desk,Hero Brand,79589,406,312.93,322,4,302.29
2024-01-03,Brand Awareness,display ads,TradeDesk,Our Story,82654,468,337.9200487809979,510,5,343.98
2024-01-03,Brand Awareness,Display,TradeDesk,Why Choose Us,79429,356,322.7,342,3,238.38
2024-01-03,Brand Awareness,E-Mail,Mailchimp,Hero Brand,17300,3976,26.14,1636,201,22043.06
2024-01-03,Branding,Email,MailChimp,Our Story,19233,4204,29.26,1203,222,23418.44
2024-01-03,brand awareness,eMail,Mailchimp,Why Choose Us,3135,16871,25.82,1251,119,9731.33
2024-01-03,Brand Awareness,email,Klaviyo,Hero Brand,15917,3422,23.64,1071,155,12784.85
01/03/2024,brand_awareness,Email,Klaviyo,Our Story,15483,2917,23.04,1168,112,11466.78
2024-01-03,Brand Awareness,Email,Klaviyo,Why Choose Us,15590,3353,22.41,992,111,11032.710061187365
2024-01-03,Brand Awareness,Video,youtube,Hero Brand,743,101310,1853.11,25648,11,1045.65
01.03.2024,Brand Awareness,Video,youtube,Our Story,103200,710,1844.58,23463,12,1219.0900823657817
2024-01-03,BrandAwareness,Video,YouTube,Why Choose Us,101150,676,1801.63,27074,7,671.4600006415113
2024-01-03,Brand Awareness,Video Ads,Connected TV,Hero Brand,48736,338,855.8,11359,3,328.68
2024-01-03,Brand Awareness,Video,Connected TV,Our Story,48289,369,886.91,12315,7,779.59
01/03/2024,Brand Awareness,Video,Connected TV,Why Choose Us,46987,424,807.06,9098,8,904.64
2024-01-04,New Year Push,Paid Search,Google,Fresh Start,37416,1766,840.4,430,84,8487.22
2024-01-04,New Year Push,Paid Search,GOOGLE,Countdown Offer,35202,1794,783.59,492,139,14375.35
2024-01-04,New Year Push,SEM,Goog,Resolution Ready,39786,1661,883.0700145482342,483,96,10683.24
2024-01-04,New Year Push,Paid Search,Bing,Fresh Start,9965,430,211.95,120,20,2367.05
2024-01-04,New Year,Paid Search,Bing,Countdown Offer,494,11374,255.92001128228213,158,36,3911.9
2024-01-04,NY Push,Paid Search,Bing,Resolution Ready,388,9485,210.81000274611935,128,26,2770.85
2024-01-04,New Year Push,Paid Social,facebook,Fresh Start,50380,904,516.62,2163,22,2033.55
2024-01-04,New Year,Paid Social,Facebook,Countdown Offer,906,48015,486.13,2156,25,1835.340051564959
2024-01-04,New Year Push,Paid Social,Facebook,Resolution Ready,42384,747,415.48,1429,14,1150.5300082817278
2024-01-04,New Year Push,Social,INSTAGRAM,Fresh Start,31028,548,296.53,1374,10,909.61
2024-01-04,New Year Push,Paid Social,INSTAGRAM,Countdown Offer,661,35279,353.04,1315,17,1516.04
2024-01-04,NewYearPush,Paid Social,Instagram,Resolution Ready,629,35596,366.9900002789592,1455,14,1139.61
2024-01-04,New Year Push,paid_social,TikTok,Fresh Start,17148,259,164.68,781,6,523.63
2024-01-04,NewYearPush,Paid Social,TikTok,Countdown Offer,18736,297,182.6300004718763,689,7,577.92
2024-01-04,New Year Push,Paid Social,TikTok,Resolution Ready,295,17183,168.1,623,6,506.45
2024-01-04,New Year Push,Banner,Google Display Network,Fresh Start,136308,717,521.56,543,9,606.0400007215256
2024-01-04,New Year Push,Display,Google Display Network,Countdown Offer,134305,709,559.05,796,7,516.51
2024-01-04,New Year Push,Display,Google Display Network,Resolution Ready,116492,550,487.76,640,6,444.32
2024-01-04,NewYearPush,Display,The Trade Desk,Fresh Start,402,86333,341.07,494,5,378.37
2024-01-04,New Year,Display,The Trade Desk,Countdown Offer,457,84289,343.41,427,5,351.73
2024-01-04,New Year Push,display,The Trade Desk,Resolution Ready,358,75530,292.46,323,5,358.52
2024-01-04,New Year Push,Email,Mailchimp,Fresh Start,3054,16727,24.03,1607,97,10068.72
2024-01-04,New Year Push,E-Mail,Mailchimp,Countdown Offer,4622,19342,27.67,1456,225,19209.2
2024-01-04,New Year Push,Email,mail chimp,Resolution Ready,17373,3204,26.92,1617,159,13732.44
2024-01-04,NY Push,Email,KLAVIYO,Fresh Start,14428,2932,22.02,1027,119,10686.91
01.04.2024,New Year Push,Email,Klaviyo,Countdown Offer,15521,3199,23.36,1151,159.0,15122.12
2024-01-04,NY Push,Email,Klaviyo,Resolution Ready,3165,15825,24.8,1611,129,11573.24
2024-01-04,New Year Push,Video,YouTube,Fresh Start,94675,764,1783.61,27967,14,1273.09
2024-01-04,New Year Push,Video,Youtube,Countdown Offer,91591,769,1710.32,23992,9,1013.26
2024-01-04,NY Push,Video,YouTube,Resolution Ready,779,105649,1951.72,23879,15,1368.13
2024-01-04,New Year Push,Video,Connected TV,Fresh Start,51679,479,904.37,12856,6,525.1
2024-01-04,New Year Push,Video,Connected TV,Countdown Offer,46840,374,820.84,14897,5,437.81
2024-01-04,New Year Push,online video,Connected TV,Resolution Ready,57891,519,1057.66,16912,6,572.87
2024-01-04,Brand Awareness,Paid Search,Google,Hero Brand,39656,1952,840.92,524,117,11756.850005519478
2024-01-04,Brand Awareness,Paid Search,Google,Our Story,33036,1386,751.14,406,97,11541.36
2024-01-04,Brand Awareness,Paid Search,Google,Why Choose Us,33318,1415,718.42,309,83,10657.530005007271
2024-01-04,Brand Awareness,SEM,Bing,Hero Brand,405,10258,234.82,129,17,2015.25
2024-01-04,Branding,Search,Bing,Our Story,9722,389,212.37,123,20,2300.93
2024-01-04,Brand Awareness,Paid Search,Bing,Why Choose Us,10773,421,248.26,101,26,3074.74
2024-01-04,Brand Awareness,paid social,Facebook,Hero Brand,969,52825,522.46,1977,27.0,2533.51
2024-01-04,Branding,Paid Social,Facebook,Our Story,44488,661,457.72,1559,19,1617.9500006344851
2024-01-04,Brand Awareness,Paid Social,Facebook,Why Choose Us,50364,983,495.2,1477,26,2332.52
2024-01-04,brand awareness,Paid Social,instagram,Hero Brand,593,29972,298.66,1250,16,1434.61
2024-01-04,Brand Awareness,Paid Social,Instagram,Our Story,575,29099,289.76,991,10,746.07
2024-01-04,Brand Awareness,Paid Social,Instagram,Why Choose Us,28933,602,289.78,1368,16,1214.900005661297
2024-01-04,Brand Awareness,paid_social,TIKTOK,Hero Brand,19854,317,195.7,860,10,778.65
2024-01-04,Brand Awareness,Paid Social,TikTok,Our Story,17029,291,176.92,725,9,712.9
2024-01-04,Brand Awareness,Paid Social,TikTok,Why Choose Us,20844,374,208.39,960,9,804.67
2024-01-04,Brand Awareness,Display,google_display_network,Hero Brand,134407,570,543.14,780,7,476.97
2024-01-04,Brand Awareness,Display,Google Display Network,Our Story,114615,606,449.59,602,6.0,456.59
2024-01-04,Brand Awareness,Display Ads,Google Display Network,Why Choose Us,122919,513,509.87000473642263,569,7,469.91
2024-01-04,Brand Awareness,Display,The Trade Desk,Hero Brand,87121,505,333.67,465,5,392.52
2024-01-04,Brand Awareness,Display,The Trade Desk,Our Story,81485,473,314.3,429,6,371.71
2024-01-04,Branding,display,The Trade Desk,Why Choose Us,70007,385,276.28,329,4.0,297.08
2024-01-04,Brand Awareness,email,Mailchimp,Hero Brand,4554,18672,27.65,1732,199,19272.84
2024-01-04,Branding,Email,Mailchimp,Our Story,17464,3864,25.54000200906061,1155,185,17754.91
2024-01-04,Brand Awareness,Email,Mailchimp,Why Choose Us,17417,3738,25.500002411147477,1257,151,16654.59
2024-01-04,Brand Awareness,eMail,Klaviyo,Hero Brand,13893,3354,20.82,924,170,16085.2
2024-01-04,Brand Awareness,Email,klaviyo,Our Story,16049,3303,23.08,1435,167,15164.29
2024-01-04,Brand Awareness,Email,Klaviyo,Why Choose Us,14111,2499,21.26,1383,127,12966.71
2024-01-04,Branding,Video,YouTube,Hero Brand,107430,902,1990.53,27514,11,1021.35
2024-01-04,Brand Awareness,Video,YT,Our Story,88992,786,1525.97,23305,11,1224.21
2024-01-04,Brand Awareness,Video,YouTube,Why Choose Us,98645,820,1702.1400045404573,22755,17,1847.86
2024-01-04,Brand Awareness,Video,Connected TV,Hero Brand,52789,463,980.93,10592,9,957.2
2024-01-04,Brand Awareness,online video,Connected TV,Our Story,51836,441,918.54,15716,8,850.22
2024-01-04,Brand Awareness,Video,Connected TV,Why Choose Us,452,48461,866.42,14895,5,452.5
2024-01-05,New Year,paid search,Google,Fresh Start,33752,1365,729.38,447,76,10154.21
2024-01-05,New Year Push,Paid Search,Goog,Countdown Offer,40308,2085,864.66,516,133,13929.23
2024-01-05,NY Push,Paid Search,Google Ads,Resolution Ready,35076,1632,771.87,351,127,13431.330003431229
2024-01-05,New Year Push,SEM,Bing,Fresh Start,10780,535,239.65,151,34,4403.450000474809
2024-01-05,New Year Push,Paid Search,Bing,Countdown Offer,9209,354,205.46,114,23,2931.36
2024-01-05,New Year Push,Paid Search,Microsoft Ads,Resolution Ready,10176,491,223.83,129,26,3488.3
2024-01-05,New Year Push,Social Ads,Facebook,Fresh Start,942,47181,480.54,1611,18,1281.13
2024-01-05,New Year Push,Paid Social,Facebook,Countdown Offer,835,46688,453.06,1868,19,1660.06
2024-01-05,New Year Push,Paid Social,Facebook,Resolution Ready,50037,1017,524.16,1550,24,2004.4000742227702
2024-01-05,New Year Push,PaidSocial,Instagram,Fresh Start,31156,554,304.32,1034,10,768.39
2024-01-05,New Year Push,Social Ads,Instagram,Countdown Offer,31664,593,308.67,1423,12,933.06
2024-01-05,New Year Push,paid social,Instagram,Resolution Ready,33177,556,340.5,1259,14,1147.57
